teff,logg,M_H,en
200,2.5,0.0,0
200,3.0,0.0,0
200,3.5,0.0,0
200,4.0,0.0,0
200,4.5,0.0,0
200,5.0,0.0,0
200,5.5,0.0,0
250,2.5,0.0,0
250,3.0,0.0,0
250,3.5,0.0,0
250,4.0,0.0,0
250,4.5,0.0,0
250,5.0,0.0,0
250,5.5,0.0,0
300,2.5,0.0,0
300,3.0,0.0,0
300,3.5,0.0,0
300,4.0,0.0,0
300,4.5,0.0,0
300,5.0,0.0,0
300,5.5,0.0,0
350,2.5,0.0,0
350,3.0,0.0,0
350,3.5,0.0,0
350,4.0,0.0,0
350,4.5,0.0,0
350,5.0,0.0,0
350,5.5,0.0,0
400,2.5,0.0,0
400,3.0,0.0,0
400,3.5,0.0,0
400,4.0,0.0,0
400,4.5,0.0,0
400,5.0,0.0,0
400,5.5,0.0,0
450,2.5,0.0,0
450,3.0,0.0,0
450,3.5,0.0,0
450,4.0,0.0,0
450,4.5,0.0,0
450,5.0,0.0,0
450,5.5,0.0,0
500,2.5,0.0,0
500,3.0,0.0,0
500,3.5,0.0,0
500,4.0,0.0,0
500,4.5,0.0,0
500,5.0,0.0,0
500,5.5,0.0,0
550,2.5,0.0,0
550,3.0,0.0,0
550,3.5,0.0,0
550,4.0,0.0,0
550,4.5,0.0,0
550,5.0,0.0,0
550,5.5,0.0,0
600,2.5,0.0,0
600,3.0,0.0,0
600,3.5,0.0,0
600,4.0,0.0,0
600,4.5,0.0,0
600,5.0,0.0,0
600,5.5,0.0,0
700,2.5,0.0,0
700,3.0,0.0,0
700,3.5,0.0,0
700,4.0,0.0,0
700,4.5,0.0,0
700,5.0,0.0,0
700,5.5,0.0,0
800,2.5,0.0,0
800,3.0,0.0,0
800,3.5,0.0,0
800,4.0,0.0,0
800,4.5,0.0,0
800,5.0,0.0,0
800,5.5,0.0,0
900,2.5,0.0,0
900,3.0,0.0,0
900,3.5,0.0,0
900,4.0,0.0,0
900,4.5,0.0,0
900,5.0,0.0,0
900,5.5,0.0,0
1000,2.5,0.0,0
1000,3.0,0.0,0
1000,3.5,0.0,0
1000,4.0,0.0,0
1000,4.5,0.0,0
1000,5.0,0.0,0
1000,5.5,0.0,0
1100,2.5,0.0,0
1100,3.0,0.0,0
1100,3.5,0.0,0
1100,4.0,0.0,0
1100,4.5,0.0,0
1100,5.0,0.0,0
1100,5.5,0.0,0
1200,2.5,0.0,0
1200,3.0,0.0,0
1200,3.5,0.0,0
1200,4.0,0.0,0
1200,4.5,0.0,0
1200,5.0,0.0,0
1200,5.5,0.0,0
1300,2.5,0.0,0
1300,3.0,0.0,0
1300,3.5,0.0,0
1300,4.0,0.0,0
1300,4.5,0.0,0
1300,5.0,0.0,0
1300,5.5,0.0,0
1400,2.5,0.0,0
1400,3.0,0.0,0
1400,3.5,0.0,0
1400,4.0,0.0,0
1400,4.5,0.0,0
1400,5.0,0.0,0
1400,5.5,0.0,0
1500,2.5,0.0,0
1500,3.0,0.0,0
1500,3.5,0.0,0
1500,4.0,0.0,0
1500,4.5,0.0,0
1500,5.0,0.0,0
1500,5.5,0.0,0
1600,2.5,0.0,0
1600,3.0,0.0,0
1600,3.5,0.0,0
1600,4.0,0.0,0
1600,4.5,0.0,0
1600,5.0,0.0,0
1600,5.5,0.0,0
1700,2.5,0.0,0
1700,3.0,0.0,0
1700,3.5,0.0,0
1700,4.0,0.0,0
1700,4.5,0.0,0
1700,5.0,0.0,0
1700,5.5,0.0,0
1800,2.5,0.0,0
1800,3.0,0.0,0
1800,3.5,0.0,0
1800,4.0,0.0,0
1800,4.5,0.0,0
1800,5.0,0.0,0
1800,5.5,0.0,0
1900,2.5,0.0,0
1900,3.0,0.0,0
1900,3.5,0.0,0
1900,4.0,0.0,0
1900,4.5,0.0,0
1900,5.0,0.0,0
1900,5.5,0.0,0
2000,2.5,0.0,0
2000,3.0,0.0,0
2000,3.5,0.0,0
2000,4.0,0.0,0
2000,4.5,0.0,0
2000,5.0,0.0,0
2000,5.5,0.0,0
2100,2.5,0.0,0
2100,3.0,0.0,0
2100,3.5,0.0,0
2100,4.0,0.0,0
2100,4.5,0.0,0
2100,5.0,0.0,0
2100,5.5,0.0,0
2200,2.5,0.0,0
2200,3.0,0.0,0
2200,3.5,0.0,0
2200,4.0,0.0,0
2200,4.5,0.0,0
2200,5.0,0.0,0
2200,5.5,0.0,0
2300,2.5,0.0,0
2300,3.0,0.0,0
2300,3.5,0.0,0
2300,4.0,0.0,0
2300,4.5,0.0,0
2300,5.0,0.0,0
2300,5.5,0.0,0
2400,2.5,0.0,0
2400,3.0,0.0,0
2400,3.5,0.0,0
2400,4.0,0.0,0
2400,4.5,0.0,0
2400,5.0,0.0,0
2400,5.5,0.0,0
2500,2.5,0.0,0
2500,3.0,0.0,0
2500,3.5,0.0,0
2500,4.0,0.0,0
2500,4.5,0.0,0
2500,5.0,0.0,0
2500,5.5,0.0,0
2600,2.5,0.0,0
2600,3.0,0.0,0
2600,3.5,0.0,0
2600,4.0,0.0,0
2600,4.5,0.0,0
2600,5.0,0.0,0
2600,5.5,0.0,0
2700,2.5,0.0,0
2700,3.0,0.0,0
2700,3.5,0.0,0
2700,4.0,0.0,0
2700,4.5,0.0,0
2700,5.0,0.0,0
2700,5.5,0.0,0
2800,2.5,0.0,0
2800,3.0,0.0,0
2800,3.5,0.0,0
2800,4.0,0.0,0
2800,4.5,0.0,0
2800,5.0,0.0,0
2800,5.5,0.0,0
2900,2.5,0.0,0
2900,3.0,0.0,0
2900,3.5,0.0,0
2900,4.0,0.0,0
2900,4.5,0.0,0
2900,5.0,0.0,0
2900,5.5,0.0,0
3000,2.5,0.0,0
3000,3.0,0.0,0
3000,3.5,0.0,0
3000,4.0,0.0,0
3000,4.5,0.0,0
3000,5.0,0.0,0
3000,5.5,0.0,0
