teff,logg,M_H,en
1000,3.0,-0.6,0.0
1000,3.0,-0.3,0.0
1000,3.0,0.0,0.0
1000,3.0,0.3,0.0
1000,3.5,-0.6,0.0
1000,3.5,-0.3,0.0
1000,3.5,0.0,0.0
1000,3.5,0.3,0.0
1000,4.0,-0.6,0.0
1000,4.0,-0.3,0.0
1000,4.0,0.0,0.0
1000,4.0,0.3,0.0
1000,4.5,-0.6,0.0
1000,4.5,-0.3,0.0
1000,4.5,0.0,0.0
1000,4.5,0.3,0.0
1000,5.0,-0.6,0.0
1000,5.0,-0.3,0.0
1000,5.0,0.0,0.0
1000,5.0,0.3,0.0
1000,5.5,-0.6,0.0
1000,5.5,-0.3,0.0
1000,5.5,0.0,0.0
1000,5.5,0.3,0.0
1000,6.0,0.0,0.0
1100,3.0,-0.6,0.0
1100,3.0,-0.3,0.0
1100,3.0,0.0,0.0
1100,3.0,0.3,0.0
1100,3.5,-0.6,0.0
1100,3.5,-0.3,0.0
1100,3.5,0.0,0.0
1100,3.5,0.3,0.0
1100,4.0,-0.6,0.0
1100,4.0,-0.3,0.0
1100,4.0,0.0,0.0
1100,4.0,0.3,0.0
1100,4.5,-0.6,0.0
1100,4.5,-0.3,0.0
1100,4.5,0.0,0.0
1100,4.5,0.3,0.0
1100,5.0,-0.6,0.0
1100,5.0,-0.3,0.0
1100,5.0,0.0,0.0
1100,5.0,0.3,0.0
1100,5.5,-0.6,0.0
1100,5.5,-0.3,0.0
1100,5.5,0.0,0.0
1100,5.5,0.3,0.0
1100,6.0,0.0,0.0
1200,3.0,-0.6,0.0
1200,3.0,-0.3,0.0
1200,3.0,0.0,0.0
1200,3.0,0.3,0.0
1200,3.5,-0.6,0.0
1200,3.5,-0.3,0.0
1200,3.5,0.0,0.0
1200,3.5,0.3,0.0
1200,4.0,-0.6,0.0
1200,4.0,-0.3,0.0
1200,4.0,0.0,0.0
1200,4.0,0.3,0.0
1200,4.5,-0.6,0.0
1200,4.5,-0.3,0.0
1200,4.5,0.0,0.0
1200,4.5,0.3,0.0
1200,5.0,-0.3,0.0
1200,5.0,0.0,0.0
1200,5.0,0.3,0.0
1200,5.5,-0.6,0.0
1200,5.5,-0.3,0.0
1200,5.5,0.0,0.0
1200,5.5,0.3,0.0
1200,6.0,0.0,0.0
1300,3.0,-0.6,0.0
1300,3.0,-0.3,0.0
1300,3.0,0.0,0.0
1300,3.0,0.3,0.0
1300,3.5,-0.6,0.0
1300,3.5,-0.3,0.0
1300,3.5,0.0,0.0
1300,3.5,0.3,0.0
1300,4.0,-0.6,0.0
1300,4.0,-0.3,0.0
1300,4.0,0.0,0.0
1300,4.0,0.3,0.0
1300,4.5,-0.6,0.0
1300,4.5,-0.3,0.0
1300,4.5,0.0,0.0
1300,4.5,0.3,0.0
1300,5.0,-0.6,0.0
1300,5.0,-0.3,0.0
1300,5.0,0.0,0.0
1300,5.0,0.3,0.0
1300,5.5,-0.6,0.0
1300,5.5,-0.3,0.0
1300,5.5,0.0,0.0
1300,5.5,0.3,0.0
1300,6.0,0.0,0.0
1400,3.0,-0.6,0.0
1400,3.0,-0.3,0.0
1400,3.0,0.0,0.0
1400,3.0,0.3,0.0
1400,3.5,-0.6,0.0
1400,3.5,-0.3,0.0
1400,3.5,0.0,0.0
1400,3.5,0.3,0.0
1400,4.0,-0.6,0.0
1400,4.0,-0.3,0.0
1400,4.0,0.0,0.0
1400,4.0,0.3,0.0
1400,4.5,-0.6,0.0
1400,4.5,-0.3,0.0
1400,4.5,0.0,0.0
1400,4.5,0.3,0.0
1400,5.0,-0.6,0.0
1400,5.0,-0.3,0.0
1400,5.0,0.0,0.0
1400,5.0,0.3,0.0
1400,5.5,-0.6,0.0
1400,5.5,-0.3,0.0
1400,5.5,0.0,0.0
1400,5.5,0.3,0.0
1400,6.0,0.0,0.0
1500,3.0,-0.6,0.0
1500,3.0,-0.3,0.0
1500,3.0,0.0,0.0
1500,3.0,0.3,0.0
1500,3.5,-0.6,0.0
1500,3.5,-0.3,0.0
1500,3.5,0.0,0.0
1500,3.5,0.3,0.0
1500,4.0,-0.6,0.0
1500,4.0,-0.3,0.0
1500,4.0,0.0,0.0
1500,4.0,0.3,0.0
1500,4.5,-0.6,0.0
1500,4.5,-0.3,0.0
1500,4.5,0.0,0.0
1500,4.5,0.3,0.0
1500,5.0,-0.6,0.0
1500,5.0,-0.3,0.0
1500,5.0,0.0,0.0
1500,5.0,0.3,0.0
1500,5.5,-0.6,0.0
1500,5.5,-0.3,0.0
1500,5.5,0.0,0.0
1500,5.5,0.3,0.0
1500,6.0,-0.6,0.0
1500,6.0,0.0,0.0
1600,3.0,-0.6,0.0
1600,3.0,-0.3,0.0
1600,3.0,0.0,0.0
1600,3.5,-0.6,0.0
1600,3.5,-0.3,0.0
1600,3.5,0.0,0.0
1600,3.5,0.3,0.0
1600,4.0,-0.6,0.0
1600,4.0,-0.3,0.0
1600,4.0,0.0,0.0
1600,4.0,0.3,0.0
1600,4.5,-0.6,0.0
1600,4.5,-0.3,0.0
1600,4.5,0.0,0.0
1600,4.5,0.3,0.0
1600,5.0,-0.6,0.0
1600,5.0,-0.3,0.0
1600,5.0,0.0,0.0
1600,5.0,0.3,0.0
1600,5.5,-0.6,0.0
1600,5.5,-0.3,0.0
1600,5.5,0.0,0.0
1600,6.0,0.0,0.0
1700,3.0,-0.6,0.0
1700,3.0,-0.3,0.0
1700,3.0,0.0,0.0
1700,3.0,0.3,0.0
1700,3.5,-0.6,0.0
1700,3.5,-0.3,0.0
1700,3.5,0.0,0.0
1700,3.5,0.3,0.0
1700,4.0,-0.6,0.0
1700,4.0,-0.3,0.0
1700,4.0,0.0,0.0
1700,4.0,0.3,0.0
1700,4.5,-0.6,0.0
1700,4.5,-0.3,0.0
