teff,logg,M_H,en,kzz
1200,3.0,0.0,0.0,100000000.0
1200,3.5,0.0,0.0,100000000.0
1200,4.0,0.0,0.0,100000000.0
1200,4.5,0.0,0.0,100000000.0
1200,5.0,0.0,0.0,100000000.0
1300,3.0,0.0,0.0,100000000.0
1300,3.5,0.0,0.0,100000000.0
1300,4.0,0.0,0.0,100000000.0
1300,4.5,0.0,0.0,100000000.0
1300,5.0,0.0,0.0,100000000.0
1400,3.0,0.0,0.0,100000000.0
1400,3.5,0.0,0.0,100000000.0
1400,4.0,0.0,0.0,100000000.0
1400,4.5,0.0,0.0,100000000.0
1400,5.0,0.0,0.0,100000000.0
1500,3.0,0.0,0.0,100000000.0
1500,3.5,0.0,0.0,100000000.0
1500,4.0,0.0,0.0,100000000.0
1500,4.5,0.0,0.0,100000000.0
1500,5.0,0.0,0.0,100000000.0
1600,3.0,0.0,0.0,100000000.0
1600,3.5,0.0,0.0,100000000.0
1600,4.0,0.0,0.0,100000000.0
1600,4.5,0.0,0.0,100000000.0
1600,5.0,0.0,0.0,100000000.0
1700,3.0,0.0,0.0,100000000.0
1700,3.5,0.0,0.0,100000000.0
1700,4.0,0.0,0.0,100000000.0
1700,4.5,0.0,0.0,100000000.0
1700,5.0,0.0,0.0,100000000.0
1800,3.0,0.0,0.0,100000000.0
1800,3.5,0.0,0.0,100000000.0
1800,4.0,0.0,0.0,100000000.0
1800,4.5,0.0,0.0,100000000.0
1800,5.0,0.0,0.0,100000000.0
1900,3.0,0.0,0.0,100000000.0
1900,3.5,0.0,0.0,100000000.0
1900,4.0,0.0,0.0,100000000.0
1900,4.5,0.0,0.0,100000000.0
1900,5.0,0.0,0.0,100000000.0
2000,3.0,0.0,0.0,100000000.0
2000,3.5,0.0,0.0,100000000.0
2000,4.0,0.0,0.0,100000000.0
2000,4.5,0.0,0.0,100000000.0
2000,5.0,0.0,0.0,100000000.0
