teff,logg,mass,microTurb,composition,FeH,a_Fe,C_Fe,N_Fe,O_Fe
2500,3.0,0.0,0,an,-1.5,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,0,an,-1.0,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,0,an,-0.75,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,0,an,-0.5,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,0,st,-3.0,0.4,0.0,0.0,0.4
2500,3.0,0.0,0,st,-2.5,0.4,0.0,0.0,0.4
2500,3.0,0.0,0,st,-2.0,0.4,0.0,0.0,0.4
2500,3.0,0.0,0,st,-1.5,0.4,0.0,0.0,0.4
2500,3.0,0.0,0,st,-1.0,0.4,0.0,0.0,0.4
2500,3.0,0.0,0,st,-0.75,0.3,0.0,0.0,0.3
2500,3.0,0.0,0,st,-0.5,0.2,0.0,0.0,0.2
2500,3.0,0.0,0,st,-0.25,0.1,0.0,0.0,0.1
2500,3.0,0.0,0,st,0.0,0.0,0.0,0.0,0.0
2500,3.0,0.0,0,st,0.25,0.0,0.0,0.0,0.0
2500,3.0,0.0,0,st,0.5,0.0,0.0,0.0,0.0
2500,3.0,0.0,0,st,0.75,0.0,0.0,0.0,0.0
2500,3.0,0.0,0,st,1.0,0.0,0.0,0.0,0.0
2500,3.0,0.0,1,an,-1.5,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,1,an,-1.0,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,1,an,-0.75,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,1,an,-0.5,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,1,an,-0.25,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,2,an,-1.5,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,2,an,-1.0,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,2,an,-0.75,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,2,an,-0.5,-0.4,0.0,0.0,-0.4
2500,3.0,0.0,2,an,-0.25,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,0,an,-1.5,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,0,an,-1.0,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,0,an,-0.75,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,0,an,-0.5,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,0,st,-2.5,0.4,0.0,0.0,0.4
2500,3.5,0.0,0,st,-2.0,0.4,0.0,0.0,0.4
2500,3.5,0.0,0,st,-1.5,0.4,0.0,0.0,0.4
2500,3.5,0.0,0,st,-1.0,0.4,0.0,0.0,0.4
2500,3.5,0.0,0,st,-0.75,0.3,0.0,0.0,0.3
2500,3.5,0.0,0,st,-0.5,0.2,0.0,0.0,0.2
2500,3.5,0.0,0,st,-0.25,0.1,0.0,0.0,0.1
2500,3.5,0.0,0,st,0.0,0.0,0.0,0.0,0.0
2500,3.5,0.0,0,st,0.5,0.0,0.0,0.0,0.0
2500,3.5,0.0,0,st,0.75,0.0,0.0,0.0,0.0
2500,3.5,0.0,0,st,1.0,0.0,0.0,0.0,0.0
2500,3.5,0.0,1,an,-1.5,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,1,an,-1.0,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,1,an,-0.75,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,1,an,-0.5,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,1,an,-0.25,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,1,an,0.0,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,1,an,0.25,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,2,an,-1.5,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,2,an,-1.0,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,2,an,-0.75,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,2,an,-0.5,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,2,an,-0.25,-0.4,0.0,0.0,-0.4
2500,3.5,0.0,2,an,0.0,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,0,an,-0.75,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,0,an,-0.5,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,0,st,-2.5,0.4,0.0,0.0,0.4
2500,4.0,0.0,0,st,-2.0,0.4,0.0,0.0,0.4
2500,4.0,0.0,0,st,-1.5,0.4,0.0,0.0,0.4
2500,4.0,0.0,0,st,-1.0,0.4,0.0,0.0,0.4
2500,4.0,0.0,0,st,-0.75,0.3,0.0,0.0,0.3
2500,4.0,0.0,0,st,-0.5,0.2,0.0,0.0,0.2
2500,4.0,0.0,0,st,-0.25,0.1,0.0,0.0,0.1
2500,4.0,0.0,0,st,0.0,0.0,0.0,0.0,0.0
2500,4.0,0.0,0,st,0.5,0.0,0.0,0.0,0.0
2500,4.0,0.0,0,st,0.75,0.0,0.0,0.0,0.0
2500,4.0,0.0,0,st,1.0,0.0,0.0,0.0,0.0
2500,4.0,0.0,1,an,-0.75,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,1,an,-0.5,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,1,an,-0.25,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,2,an,-1.5,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,2,an,-0.75,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,2,an,-0.5,-0.4,0.0,0.0,-0.4
2500,4.0,0.0,2,an,-0.25,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,0,an,-1.0,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,0,an,-0.75,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,0,an,-0.5,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,0,st,-1.5,0.4,0.0,0.0,0.4
2500,4.5,0.0,0,st,-1.0,0.4,0.0,0.0,0.4
2500,4.5,0.0,0,st,-0.75,0.3,0.0,0.0,0.3
2500,4.5,0.0,0,st,-0.5,0.2,0.0,0.0,0.2
2500,4.5,0.0,0,st,-0.25,0.1,0.0,0.0,0.1
2500,4.5,0.0,0,st,0.0,0.0,0.0,0.0,0.0
2500,4.5,0.0,0,st,0.5,0.0,0.0,0.0,0.0
2500,4.5,0.0,0,st,0.75,0.0,0.0,0.0,0.0
2500,4.5,0.0,0,st,1.0,0.0,0.0,0.0,0.0
2500,4.5,0.0,1,an,-1.0,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,1,an,-0.75,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,1,an,-0.5,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,1,an,-0.25,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,2,an,-1.0,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,2,an,-0.75,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,2,an,-0.5,-0.4,0.0,0.0,-0.4
2500,4.5,0.0,2,an,-0.25,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,0,an,-0.75,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,0,an,-0.5,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,0,st,-2.0,0.4,0.0,0.0,0.4
2500,5.0,0.0,0,st,-1.5,0.4,0.0,0.0,0.4
2500,5.0,0.0,0,st,-1.0,0.4,0.0,0.0,0.4
2500,5.0,0.0,0,st,-0.75,0.3,0.0,0.0,0.3
2500,5.0,0.0,0,st,-0.5,0.2,0.0,0.0,0.2
2500,5.0,0.0,0,st,-0.25,0.1,0.0,0.0,0.1
2500,5.0,0.0,0,st,0.0,0.0,0.0,0.0,0.0
2500,5.0,0.0,0,st,0.5,0.0,0.0,0.0,0.0
2500,5.0,0.0,0,st,0.75,0.0,0.0,0.0,0.0
2500,5.0,0.0,0,st,1.0,0.0,0.0,0.0,0.0
2500,5.0,0.0,1,an,-0.75,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,1,an,-0.5,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,1,an,-0.25,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,2,an,-0.75,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,2,an,-0.5,-0.4,0.0,0.0,-0.4
2500,5.0,0.0,2,an,-0.25,-0.4,0.0,0.0,-0.4
2500,5.5,0.0,0,an,-0.25,-0.4,0.0,0.0,-0.4
2500,5.5,0.0,0,st,-1.0,0.4,0.0,0.0,0.4
2500,5.5,0.0,0,st,-0.75,0.3,0.0,0.0,0.3
