teff,logg,Y,f_rain,kzz,FeH,CO,f_hole
200,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
200,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
200,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
200,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
200,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
200,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
200,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
200,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
200,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
200,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
200,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
200,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
200,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
200,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
200,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
200,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
200,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
200,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
200,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
200,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
200,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
225,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
225,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
225,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
225,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
225,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
225,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
225,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
225,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
225,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
225,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
225,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
225,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
225,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
225,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
225,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
225,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
225,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
225,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
225,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
225,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
225,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
250,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
250,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
250,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
250,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
250,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
250,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
250,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
250,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
250,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
250,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
250,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
250,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
250,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
250,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
250,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
250,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
250,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
250,5.25,0.28,0.0,100000.0,-0.5,1.0,1.0
250,5.25,0.28,0.0,100000.0,0.0,1.0,1.0
250,5.5,0.28,0.0,100000.0,-0.5,1.0,1.0
250,5.5,0.28,0.0,100000.0,0.0,1.0,1.0
275,3.0,0.28,0.0,100000.0,-0.5,1.0,1.0
275,3.0,0.28,0.0,100000.0,0.0,1.0,1.0
275,3.25,0.28,0.0,100000.0,-0.5,1.0,1.0
275,3.25,0.28,0.0,100000.0,0.0,1.0,1.0
275,3.5,0.28,0.0,100000.0,-0.5,1.0,1.0
275,3.5,0.28,0.0,100000.0,0.0,1.0,1.0
275,3.75,0.28,0.0,100000.0,0.0,1.0,1.0
275,4.0,0.28,0.0,100000.0,-0.5,1.0,1.0
275,4.0,0.28,0.0,100000.0,0.0,1.0,1.0
275,4.25,0.28,0.0,100000.0,0.0,1.0,1.0
275,4.5,0.28,0.0,100000.0,-0.5,1.0,1.0
275,4.5,0.28,0.0,100000.0,0.0,1.0,1.0
275,4.75,0.28,0.0,100000.0,0.0,1.0,1.0
275,5.0,0.28,0.0,100000.0,-0.5,1.0,1.0
275,5.0,0.28,0.0,100000.0,0.0,0.5,1.0
275,5.0,0.28,0.0,100000.0,0.0,1.0,1.0
275,5.0,0.28,0.0,100000.0,0.0,1.5,1.0
