teff,logg,M_H,kzz,CO
275,3.0,1.0,100000000.0,1.0
275,3.25,-1.0,100.0,0.5
275,3.25,-1.0,100.0,1.0
275,3.25,-1.0,100.0,1.5
275,3.25,-1.0,100.0,2.5
275,3.25,-1.0,10000.0,0.5
275,3.25,-1.0,10000.0,1.0
275,3.25,-1.0,10000.0,1.5
275,3.25,-1.0,10000.0,2.5
275,3.25,-1.0,10000000.0,0.5
275,3.25,-1.0,10000000.0,1.0
275,3.25,-1.0,10000000.0,1.5
275,3.25,-1.0,10000000.0,2.5
275,3.25,-1.0,100000000.0,0.5
275,3.25,-1.0,100000000.0,1.0
275,3.25,-1.0,100000000.0,1.5
275,3.25,-1.0,100000000.0,2.5
275,3.25,-1.0,1000000000.0,0.5
275,3.25,-1.0,1000000000.0,1.0
275,3.25,-1.0,1000000000.0,1.5
275,3.25,-1.0,1000000000.0,2.5
275,3.25,-0.5,100.0,0.5
275,3.25,-0.5,100.0,1.0
275,3.25,-0.5,100.0,1.5
275,3.25,-0.5,100.0,2.5
275,3.25,-0.5,10000.0,0.5
275,3.25,-0.5,10000.0,1.0
275,3.25,-0.5,10000.0,1.5
275,3.25,-0.5,10000.0,2.5
275,3.25,-0.5,10000000.0,0.5
275,3.25,-0.5,10000000.0,1.0
275,3.25,-0.5,10000000.0,1.5
275,3.25,-0.5,10000000.0,2.5
275,3.25,-0.5,100000000.0,0.5
275,3.25,-0.5,100000000.0,1.0
275,3.25,-0.5,100000000.0,1.5
275,3.25,-0.5,100000000.0,2.5
275,3.25,-0.5,1000000000.0,0.5
275,3.25,-0.5,1000000000.0,1.0
275,3.25,-0.5,1000000000.0,1.5
275,3.25,-0.5,1000000000.0,2.5
275,3.25,0.0,100.0,0.5
275,3.25,0.0,100.0,1.0
275,3.25,0.0,100.0,1.5
275,3.25,0.0,100.0,2.5
275,3.25,0.0,10000.0,0.5
275,3.25,0.0,10000.0,1.0
275,3.25,0.0,10000.0,1.5
275,3.25,0.0,10000.0,2.5
275,3.25,0.0,10000000.0,0.5
275,3.25,0.0,10000000.0,1.0
275,3.25,0.0,10000000.0,1.5
275,3.25,0.0,10000000.0,2.5
275,3.25,0.0,100000000.0,0.5
275,3.25,0.0,100000000.0,1.0
275,3.25,0.0,100000000.0,1.5
275,3.25,0.0,100000000.0,2.5
275,3.25,0.0,1000000000.0,0.5
275,3.25,0.0,1000000000.0,1.0
275,3.25,0.0,1000000000.0,1.5
275,3.25,0.0,1000000000.0,2.5
275,3.25,0.5,100.0,0.5
275,3.25,0.5,100.0,1.0
275,3.25,0.5,100.0,1.5
275,3.25,0.5,100.0,2.5
275,3.25,0.5,10000.0,0.5
275,3.25,0.5,10000.0,1.0
275,3.25,0.5,10000.0,1.5
275,3.25,0.5,10000.0,2.5
275,3.25,0.5,10000000.0,0.5
275,3.25,0.5,10000000.0,1.0
275,3.25,0.5,10000000.0,1.5
275,3.25,0.5,10000000.0,2.5
275,3.25,0.5,100000000.0,0.5
275,3.25,0.5,100000000.0,1.0
275,3.25,0.5,100000000.0,1.5
275,3.25,0.5,100000000.0,2.5
275,3.25,0.5,1000000000.0,0.5
275,3.25,0.5,1000000000.0,1.0
275,3.25,0.5,1000000000.0,1.5
275,3.25,0.5,1000000000.0,2.5
275,3.25,0.7,100.0,0.5
275,3.25,0.7,100.0,1.0
275,3.25,0.7,100.0,1.5
275,3.25,0.7,100.0,2.5
275,3.25,0.7,10000.0,0.5
275,3.25,0.7,10000.0,1.0
275,3.25,0.7,10000.0,1.5
275,3.25,0.7,10000.0,2.5
275,3.25,0.7,10000000.0,0.5
275,3.25,0.7,10000000.0,1.0
275,3.25,0.7,10000000.0,1.5
275,3.25,0.7,10000000.0,2.5
275,3.25,0.7,100000000.0,0.5
275,3.25,0.7,100000000.0,1.0
275,3.25,0.7,100000000.0,1.5
275,3.25,0.7,100000000.0,2.5
275,3.25,0.7,1000000000.0,0.5
275,3.25,0.7,1000000000.0,1.0
275,3.25,0.7,1000000000.0,1.5
275,3.25,0.7,1000000000.0,2.5
275,3.25,1.0,100.0,0.5
275,3.25,1.0,100.0,1.0
275,3.25,1.0,100.0,1.5
275,3.25,1.0,100.0,2.5
275,3.25,1.0,10000.0,0.5
275,3.25,1.0,10000.0,1.0
275,3.25,1.0,10000.0,1.5
275,3.25,1.0,10000.0,2.5
275,3.25,1.0,10000000.0,0.5
275,3.25,1.0,10000000.0,1.0
275,3.25,1.0,10000000.0,1.5
275,3.25,1.0,10000000.0,2.5
275,3.25,1.0,100000000.0,0.5
275,3.25,1.0,100000000.0,1.0
275,3.25,1.0,100000000.0,1.5
275,3.25,1.0,100000000.0,2.5
275,3.25,1.0,1000000000.0,0.5
275,3.25,1.0,1000000000.0,1.0
275,3.25,1.0,1000000000.0,1.5
275,3.25,1.0,1000000000.0,2.5
275,3.5,-1.0,100.0,0.5
275,3.5,-1.0,100.0,1.0
275,3.5,-1.0,100.0,1.5
275,3.5,-1.0,100.0,2.5
275,3.5,-1.0,10000.0,0.5
275,3.5,-1.0,10000.0,1.0
275,3.5,-1.0,10000.0,1.5
275,3.5,-1.0,10000.0,2.5
275,3.5,-1.0,10000000.0,0.5
275,3.5,-1.0,10000000.0,1.0
275,3.5,-1.0,10000000.0,1.5
275,3.5,-1.0,10000000.0,2.5
275,3.5,-1.0,100000000.0,0.5
275,3.5,-1.0,100000000.0,1.0
275,3.5,-1.0,100000000.0,1.5
275,3.5,-1.0,100000000.0,2.5
275,3.5,-1.0,1000000000.0,0.5
275,3.5,-1.0,1000000000.0,1.0
275,3.5,-1.0,1000000000.0,1.5
275,3.5,-1.0,1000000000.0,2.5
275,3.5,-0.5,100.0,0.5
275,3.5,-0.5,100.0,1.0
275,3.5,-0.5,100.0,1.5
275,3.5,-0.5,100.0,2.5
275,3.5,-0.5,10000.0,0.5
275,3.5,-0.5,10000.0,1.0
275,3.5,-0.5,10000.0,1.5
275,3.5,-0.5,10000.0,2.5
275,3.5,-0.5,10000000.0,0.5
275,3.5,-0.5,10000000.0,1.0
275,3.5,-0.5,10000000.0,1.5
275,3.5,-0.5,10000000.0,2.5
275,3.5,-0.5,100000000.0,0.5
275,3.5,-0.5,100000000.0,1.0
275,3.5,-0.5,100000000.0,1.5
275,3.5,-0.5,100000000.0,2.5
275,3.5,-0.5,1000000000.0,0.5
275,3.5,-0.5,1000000000.0,1.0
275,3.5,-0.5,1000000000.0,1.5
275,3.5,-0.5,1000000000.0,2.5
275,3.5,0.0,100.0,0.5
275,3.5,0.0,100.0,1.0
275,3.5,0.0,100.0,1.5
275,3.5,0.0,100.0,2.5
275,3.5,0.0,10000.0,0.5
275,3.5,0.0,10000.0,1.0
275,3.5,0.0,10000.0,1.5
275,3.5,0.0,10000.0,2.5
275,3.5,0.0,10000000.0,0.5
275,3.5,0.0,10000000.0,1.0
275,3.5,0.0,10000000.0,1.5
275,3.5,0.0,10000000.0,2.5
275,3.5,0.0,100000000.0,0.5
275,3.5,0.0,100000000.0,1.0
275,3.5,0.0,100000000.0,1.5
275,3.5,0.0,100000000.0,2.5
275,3.5,0.0,1000000000.0,0.5
275,3.5,0.0,1000000000.0,1.0
275,3.5,0.0,1000000000.0,1.5
275,3.5,0.0,1000000000.0,2.5
275,3.5,0.5,100.0,0.5
275,3.5,0.5,100.0,1.0
275,3.5,0.5,100.0,1.5
275,3.5,0.5,100.0,2.5
275,3.5,0.5,10000.0,0.5
275,3.5,0.5,10000.0,1.0
275,3.5,0.5,10000.0,1.5
275,3.5,0.5,10000.0,2.5
