File,Temp,Logg,Metal,Alpha
lte005.0-3.5-0.0a+0.0.BT-Settl.spec.7,500,3.5,0,0
lte005.0-4.0-0.0a+0.0.BT-Settl.spec.7,500,4,0,0
lte005.0-4.5-0.0a+0.0.BT-Settl.spec.7,500,4.5,0,0
lte005.0-5.0-0.0a+0.0.BT-Settl.spec.7,500,5,0,0
lte006.0-3.5-0.0a+0.0.BT-Settl.spec.7,600,3.5,0,0
lte006.0-4.0-0.0a+0.0.BT-Settl.spec.7,600,4,0,0
lte006.0-4.5-0.0a+0.0.BT-Settl.spec.7,600,4.5,0,0
lte006.0-5.0-0.0a+0.0.BT-Settl.spec.7,600,5,0,0
lte007.0-3.5-0.0a+0.0.BT-Settl.spec.7,700,3.5,0,0
lte007.0-4.0-0.0a+0.0.BT-Settl.spec.7,700,4,0,0
lte007.0-4.5-0.0a+0.0.BT-Settl.spec.7,700,4.5,0,0
lte007.0-5.0-0.0a+0.0.BT-Settl.spec.7,700,5,0,0
lte008.0-3.5-0.0a+0.0.BT-Settl.spec.7,800,3.5,0,0
lte008.0-4.0-0.0a+0.0.BT-Settl.spec.7,800,4,0,0
lte008.0-4.5-0.0a+0.0.BT-Settl.spec.7,800,4.5,0,0
lte008.0-5.0-0.0a+0.0.BT-Settl.spec.7,800,5,0,0
lte009.0-3.5-0.0a+0.0.BT-Settl.spec.7,900,3.5,0,0
lte009.0-4.0-0.0a+0.0.BT-Settl.spec.7,900,4,0,0
lte009.0-4.5-0.0a+0.0.BT-Settl.spec.7,900,4.5,0,0
lte009.0-5.0-0.0a+0.0.BT-Settl.spec.7,900,5,0,0
lte009.0-5.5-0.0a+0.0.BT-Settl.spec.7,900,5.5,0,0
lte010.0-3.5-0.0a+0.0.BT-Settl.spec.7,1000,3.5,0,0
lte010.0-4.0-0.0a+0.0.BT-Settl.spec.7,1000,4,0,0
lte010.0-4.5-0.0a+0.0.BT-Settl.spec.7,1000,4.5,0,0
lte010.0-5.0-0.0a+0.0.BT-Settl.spec.7,1000,5,0,0
lte010.0-5.5-0.0a+0.0.BT-Settl.spec.7,1000,5.5,0,0
lte011.0-3.5-0.0a+0.0.BT-Settl.spec.7,1100,3.5,0,0
lte011.0-4.0-0.0a+0.0.BT-Settl.spec.7,1100,4,0,0
lte011.0-4.5-0.0a+0.0.BT-Settl.spec.7,1100,4.5,0,0
lte011.0-5.0-0.0a+0.0.BT-Settl.spec.7,1100,5,0,0
lte011.0-5.5-0.0a+0.0.BT-Settl.spec.7,1100,5.5,0,0
lte012.0-3.5-0.0a+0.0.BT-Settl.spec.7,1200,3.5,0,0
lte012.0-4.0-0.0a+0.0.BT-Settl.spec.7,1200,4,0,0
lte012.0-4.5-0.0a+0.0.BT-Settl.spec.7,1200,4.5,0,0
lte012.0-5.0-0.0a+0.0.BT-Settl.spec.7,1200,5,0,0
lte012.0-5.5-0.0a+0.0.BT-Settl.spec.7,1200,5.5,0,0
lte013.0-3.5-0.0a+0.0.BT-Settl.spec.7,1300,3.5,0,0
lte013.0-4.0-0.0a+0.0.BT-Settl.spec.7,1300,4,0,0
lte013.0-4.5-0.0a+0.0.BT-Settl.spec.7,1300,4.5,0,0
lte013.0-5.0-0.0a+0.0.BT-Settl.spec.7,1300,5,0,0
lte013.0-5.5-0.0a+0.0.BT-Settl.spec.7,1300,5.5,0,0
lte014.0-3.0-0.0a+0.0.BT-Settl.spec.7,1400,3,0,0
lte014.0-3.5-0.0a+0.0.BT-Settl.spec.7,1400,3.5,0,0
lte014.0-4.0-0.0a+0.0.BT-Settl.spec.7,1400,4,0,0
lte014.0-4.5-0.0a+0.0.BT-Settl.spec.7,1400,4.5,0,0
lte014.0-5.0-0.0a+0.0.BT-Settl.spec.7,1400,5,0,0
lte014.0-5.5-0.0a+0.0.BT-Settl.spec.7,1400,5.5,0,0
lte015.0-2.5-0.0a+0.0.BT-Settl.spec.7,1500,2.5,0,0
lte015.0-3.0-0.0a+0.0.BT-Settl.spec.7,1500,3,0,0
lte015.0-3.5-0.0a+0.0.BT-Settl.spec.7,1500,3.5,0,0
lte015.0-4.0-0.0a+0.0.BT-Settl.spec.7,1500,4,0,0
lte015.0-4.5-0.0a+0.0.BT-Settl.spec.7,1500,4.5,0,0
lte015.0-5.0-0.0a+0.0.BT-Settl.spec.7,1500,5,0,0
lte015.0-5.5-0.0a+0.0.BT-Settl.spec.7,1500,5.5,0,0
lte016.0-2.5-0.0a+0.0.BT-Settl.spec.7,1600,2.5,0,0
lte016.0-3.0-0.0a+0.0.BT-Settl.spec.7,1600,3,0,0
