File,Temp,Logg,Metal,Alpha
btsettl08_t500_g3.00_z-0.00_en0.00_APOGEE-RAW.txt,500,3,0,0
btsettl08_t500_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,500,3.5,0,0
btsettl08_t500_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,500,4,0,0
btsettl08_t500_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,500,4.5,0,0
btsettl08_t500_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,500,5,0,0
btsettl08_t600_g3.00_z-0.00_en0.00_APOGEE-RAW.txt,600,3,0,0
btsettl08_t600_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,600,3.5,0,0
btsettl08_t600_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,600,4,0,0
btsettl08_t600_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,600,4.5,0,0
btsettl08_t600_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,600,5,0,0
btsettl08_t700_g3.00_z-0.00_en0.00_APOGEE-RAW.txt,700,3,0,0
btsettl08_t700_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,700,3.5,0,0
btsettl08_t700_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,700,4,0,0
btsettl08_t700_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,700,4.5,0,0
btsettl08_t700_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,700,5,0,0
btsettl08_t800_g3.00_z-0.00_en0.00_APOGEE-RAW.txt,800,3,0,0
btsettl08_t800_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,800,3.5,0,0
btsettl08_t800_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,800,4,0,0
btsettl08_t800_g4.00_z0.50_en0.00_APOGEE-RAW.txt,800,4,0.5,0
btsettl08_t800_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,800,4.5,0,0
btsettl08_t800_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,800,5,0,0
btsettl08_t900_g3.00_z-0.00_en0.00_APOGEE-RAW.txt,900,3,0,0
btsettl08_t900_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,900,3.5,0,0
btsettl08_t900_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,900,4,0,0
btsettl08_t900_g4.00_z0.50_en0.00_APOGEE-RAW.txt,900,4,0.5,0
btsettl08_t900_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,900,4.5,0,0
btsettl08_t900_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,900,5,0,0
btsettl08_t900_g5.50_z-0.00_en0.00_APOGEE-RAW.txt,900,5.5,0,0
btsettl08_t1000_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,1000,3.5,0,0
btsettl08_t1000_g4.00_z-0.50_en0.20_APOGEE-RAW.txt,1000,4,-0.5,0.2
btsettl08_t1000_g4.00_z-0.00_en0.00_APOGEE-RAW.txt,1000,4,0,0
btsettl08_t1000_g4.00_z0.50_en0.00_APOGEE-RAW.txt,1000,4,0.5,0
btsettl08_t1000_g4.50_z-0.50_en0.20_APOGEE-RAW.txt,1000,4.5,-0.5,0.2
btsettl08_t1000_g4.50_z-0.00_en0.00_APOGEE-RAW.txt,1000,4.5,0,0
btsettl08_t1000_g5.00_z-0.50_en0.20_APOGEE-RAW.txt,1000,5,-0.5,0.2
btsettl08_t1000_g5.00_z-0.00_en0.00_APOGEE-RAW.txt,1000,5,0,0
btsettl08_t1000_g5.50_z-0.00_en0.00_APOGEE-RAW.txt,1000,5.5,0,0
btsettl08_t1100_g3.50_z-0.50_en0.20_APOGEE-RAW.txt,1100,3.5,-0.5,0.2
btsettl08_t1100_g3.50_z-0.00_en0.00_APOGEE-RAW.txt,1100,3.5,0,0
